Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,2880,320,99728688.1443066,266390.537051232,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,44.6561776391548,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130199735952661,21.1481620003161,21.3633855986772,2880.37970639338,319.620293606624,99732257.9135332,262820.766549343,34624.691214205,822.290611098718,-495.071657718555,400.27784391078,394.911401611612,-0.991602562930849,3.54258550537957E-07,2406.37107127403,399.923410692511,4.23636543303947,44.6619648011167,0.005,0.005,0.998000001887004,0.00199999811299638,0.998052738182602,0.00194726181739829,0.998052719131206,0.00194728086879361,0.00201588,0.00201588,0.00201588,-2.16786198261909E-11,3.7743937572037E-10,86.1416
2,0.130399250160785,21.1537086305613,21.5889744539938,2880.75776167689,319.242238323106,99735785.7706762,259292.881534709,34621.371882591,812.213580811566,-494.953154575346,405.77516754232,394.964009448193,-0.979960317504075,7.74211767647002E-06,2406.62069736841,399.309409085615,8.56757856765591,44.6677267982662,0.005,0.005,0.998000003751056,0.00199999624894437,0.998052738697175,0.00194726130282482,0.998052700362121,0.00194729963787872,0.00201588,0.00201588,0.00201588,-1.58102354972769E-11,3.40498063043082E-10,88.0657
3,0.130598526784146,21.1592425907736,21.8192994338976,2881.13410439991,318.86589560009,99739270.3276812,255808.268368849,34618.0589703773,802.244052746471,-494.834878976787,411.349662779661,395.016438716159,-0.967932501385609,1.56002408928341E-05,2406.86912344316,398.69028795861,12.9922648601002,44.6734626940249,0.005,0.005,0.998000005591444,0.00199999440855553,0.998052739474655,0.00194726052534498,0.998052681620819,0.00194731837918076,0.00201588,0.00201588,0.00201588,-2.00953152471384E-11,2.75091881475525E-10,83.0348
4,0.130797550148863,21.1647634841439,22.0542786887273,2881.50867391575,318.491326084252,99742710.2154634,252368.286650727,34614.7527225454,792.386686800904,-494.716839681321,417.000177803393,395.068686031481,-0.95552438394063,2.60933157470491E-05,2407.11630493456,398.066208042438,17.5088210287104,44.6791715640675,0.005,0.005,0.99800000740747,0.00199999259253049,0.99805274051829,0.00194725948170987,0.998052662908058,0.00194733709194227,0.00201588,0.00201588,0.00201588,-2.05941788251921E-11,2.15975438074273E-10,84.6491
5,0.130996304944006,21.170270925595,22.2938185598146,2881.88141105493,318.118588945074,99746104.097836,248974.263372333,34611.4533773697,782.646069813041,-494.599045208361,422.725325246703,395.120748137117,-0.942745103513201,3.91404868827926E-05,2407.36219785943,397.437345455475,22.115411117673,44.6848525065833,0.005,0.005,0.998000009198448,0.00199999080155161,0.998052741830913,0.00194725816908672,0.998052644224568,0.00194735577543241,0.00201588,0.00201588,0.00201588,-1.97478559525283E-11,1.70237940730237E-10,84.0377
6,0.131194776289397,21.1757645435896,22.5378134007786,2882.25225837261,317.74774162739,99749450.6768649,245627.487591991,34608.1611653193,773.026698266919,-494.481503799092,428.523472329471,395.172621919442,-0.929605285802649,5.46531793144014E-05,2407.60675929604,396.80389139327,26.8099629438602,44.6905046460469,0.005,0.005,0.99800001096372,0.00199998903628024,0.998052743414907,0.00194725658509253,0.998052625571049,0.00194737442895104,0.00201588,0.00201588,0.00201588,-1.80814134436892E-11,1.34745488060362E-10,93.9157
7,0.131392949798683,21.1812439817883,22.7861454249477,2882.62116037926,317.378839620738,99752748.6978893,242329.205462372,34604.8763080491,763.532961907451,-494.364223380396,434.39273193431,395.224304423017,-0.91611695120732,7.25292455818918E-05,2407.84994756215,396.166052130535,31.5901650609295,44.696127136734,0.005,0.005,0.998000012702646,0.0019999872973541,0.998052745272173,0.00194725472782696,0.998052606948168,0.00194739305183221,0.00201588,0.00201588,0.00201588,-1.09222318303317E-11,1.01439852250803E-10,89.2234
8,0.131590811636341,21.1867089005327,23.0386846080842,2882.98806385213,317.011936147866,99755996.957627,239080.615208201,34601.5990174919,754.169127236539,-494.247211532375,440.330955396337,395.27579286375,-0.902294371595813,9.18101146817207E-05,2408.09172238121,395.524049000404,36.4534648153947,44.7017191674687,0.005,0.005,0.998000014414563,0.00199998558543733,0.998052747404099,0.00194725259590107,0.998052588356502,0.00194741164349831,0.00201588,0.00201588,0.00201588,-6.25783131837162E-09,8.81970951979194E-11,83.2129
9,0.131788348567925,21.1921589781415,23.2952884859198,2883.35291762316,316.647082376845,99759194.2944761,235882.864682549,34598.3294950626,744.939327758664,-494.130475460164,446.335723254961,395.327084639978,-0.888149124744038,0.000114910159673956,2408.33204511338,394.878118233571,41.3970643358876,44.7072799583907,0.005,0.005,0.998000016098991,0.00199998390100853,0.998052749811521,0.00194725018847926,0.998052569796742,0.00194743020325844,0.00201588,0.00201588,0.00201588,-8.26467199311323E-12,7.00595382272308E-11,85.6803
