Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,2880,320,99728688.1443066,266390.537051232,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,7.68857702904569,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130302853315453,21.1510294918966,22.1653154199442,2880.88866278092,319.111337219078,99744937.1129487,250141.231100828,34622.9753345153,783.868204999245,-495.010407572121,419.884037151708,394.938598140682,-4.51360240057525,9.36967589788967E-05,968.781511028642,1837.5129709379,98.2915782040449,7.69132921986499,0.005,0.005,0.998000008587549,0.0019999914124506,0.998052739415764,0.00194726058423564,0.99805271501348,0.00194728498651965,0.00201588,0.00201588,0.00201588,-3.86450811330658E-10,1.63156096343779E-12,91.7792
2,0.130596733885289,21.1591928272915,23.2811945763301,2881.73553702455,318.264462975451,99760176.6197765,234901.724196455,34618.0887656266,738.070854660811,-494.835958352733,446.413850591613,395.015952208517,-4.23319634103941,2.12879644499885E-08,968.242399306279,1831.28185660624,205.470308997345,7.6939540746984,0.005,0.005,0.998000016635628,0.00199998336437211,0.998052742455629,0.00194725754437139,0.998052692559304,0.00194730744069627,0.00201588,0.00201588,0.00201588,-3.41160477608532E-10,2.79938398452508E-12,98.9546
3,0.130880472994828,21.1670619802042,24.4768879767327,2882.53577389456,317.464226105438,99774294.28805,220784.055620934,34613.3759003608,695.461212526054,-494.667706567852,474.221941837316,395.090398818371,-3.92157452043146,8.38769806755914E-08,967.729175799444,1824.40799022154,320.236960802176,7.69643625410038,0.005,0.005,0.998000024085959,0.00199997591404123,0.998052747048869,0.00194725295113093,0.998052670622643,0.00194732937735681,0.00201588,0.00201588,0.00201588,-2.92729044981111E-10,3.0029853726744E-12,104.9735
4,0.131153252520987,21.174615670499,25.7337708733679,2883.28584015514,316.714159844859,99787206.4411823,207871.901780288,34608.8497544916,656.339147836374,-494.5061172366,502.966137726807,395.161750299616,-3.58670920340965,1.96769833564758E-07,967.2446688541,1816.97654937028,440.789497911017,7.69876447447978,0.005,0.005,0.998000030895489,0.00199996910451072,0.998052753124382,0.00194724687561766,0.998052649239581,0.00194735076041877,0.00201588,0.00201588,0.00201588,-2.4135548830469E-10,4.98831213223249E-13,100.777
5,0.131414639131175,21.1818433232288,27.0284175144997,2883.98368654397,316.01631345603,99798862.3322939,196216.00936882,34604.5169388209,620.904684390988,-494.351426734469,532.194339885514,395.229920569564,-3.23774753099514,3.61079970995585E-07,966.785459833645,1809.11378121929,564.869443493566,7.70093205110582,0.005,0.005,0.998000037038556,0.00199996296144419,0.99805276053204,0.00194723946796009,0.998052628423405,0.00194737157659534,0.00201588,0.00201588,0.00201588,-1.9520238809037E-10,4.95117868852304E-09,102.5994
6,0.131664578279424,21.1887448167819,28.3336872874584,2884.62877637964,315.371223620356,99809245.4570544,185832.882655345,34600.3777936099,589.251233901578,-494.203647571373,561.367910764951,395.294921925994,-2.88420132238004,5.42472634050581E-07,966.357725312405,1800.96826832408,689.866852668977,7.70293700612917,0.005,0.005,0.998000042507514,0.00199995749248618,0.998052769045245,0.00194723095475506,0.998052608166207,0.00194739183379259,0.00201588,0.00201588,0.00201588,-1.53546169787929E-10,1.75881798949369E-09,100.7478
7,0.131903359430056,21.1953294498778,29.620529204152,2885.22200936281,314.777990637194,99818372.6086684,176705.728459635,34596.4269940922,561.366212745483,-494.062589991477,589.90245616867,395.356854612299,-2.53531989277651,7.17143217722575E-07,965.9621899827,1792.71866029666,812.993763888323,7.70478184781355,0.005,0.005,0.998000047312188,0.00199995268781248,0.998052778373698,0.00194722162630209,0.99805258844223,0.00194741155777022,0.00201588,0.00201588,0.00201588,-1.16606289222269E-10,6.5015855963956E-10,109.5736
8,0.132131561858905,21.2016143913881,30.8603497530649,2885.76556118705,314.234438812949,99826290.9391167,168787.394909926,34592.6544698431,537.138435709138,-493.927894782897,617.22066319519,395.415891698458,-2.19953623562223,8.61518912845188E-07,965.600287705697,1784.5556676311,931.511168358151,7.70647308374361,0.005,0.005,0.998000051478282,0.00199994852171803,0.998052788186105,0.00194721181389471,0.998052569212093,0.00194743078790753,0.00201588,0.00201588,0.00201588,-1.02426420818319E-10,2.47849521555868E-10,108.2047
9,0.132349989075538,21.2076228365005,32.0275810691495,2886.2626613175,313.737338682498,99833073.41576,162004.914791225,34589.0465042391,516.371164081218,-493.799072521728,642.808361932738,395.472261396168,-1.88402128982461,9.6537172794342E-07,965.26286015299,1776.67734217158,1042.97465139568,7.70802053706429,0.005,0.005,0.998000055044965,0.00199994495503534,0.998052798140084,0.00194720185991564,0.998052550427297,0.00194744957270327,0.00201588,0.00201588,0.00201588,-6.42693139868185E-11,8.63550379733407E-11,95.4787
