Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,90,10,3116521.50450958,8324.70428285099,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,14.0555332545048,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.131067134174108,21.1722321375919,22.6484031190881,90.0664142388863,9.93358576111372,3117223.65282624,7622.55574664086,34610.2781949142,767.351883796113,-494.557090873278,431.220286203488,395.139270793541,-0.195041199070272,6.09880468497674E-08,374.710808143115,79.9309981518783,2.88491336281943,14.0657282336815,0.005,0.005,0.998000011856949,0.00199998814305069,0.998052746990215,0.00194725300978515,0.998052639539899,0.00194736046010147,0.00201588,0.00201588,0.00201588,-7.26579252588511E-10,1.76092747801508E-11,107.2624
2,0.132127132236181,21.2014924719293,24.4160264476166,90.1313922362716,9.86860776372842,3117890.70600263,6955.49961684929,34592.727668395,704.810626116268,-493.930468291768,472.423586446916,395.414786339743,-0.185292548999552,8.20387051337295E-07,374.915688241036,79.2559810913257,6.28223433324639,14.0757027412781,0.005,0.005,0.998000023095449,0.00199997690455097,0.998052766646997,0.00194723335300282,0.998052542024847,0.00194745797515353,0.00201588,0.00201588,0.00201588,-6.69538155500684E-10,1.13370540745266E-13,107.1301
3,0.133176914901233,21.230305606163,26.456613730276,90.1945680154206,9.80543198457937,3118514.48310953,6331.7091762889,34575.4134836186,645.734852502831,-493.312239937632,518.816868081067,395.684489873234,-0.17327141858107,3.70379679629372E-06,375.115721348206,78.5142481668862,10.2138887259412,14.0854005976971,0.005,0.005,0.998000033581185,0.00199996641881552,0.998052798281524,0.00194720171847616,0.998052445537033,0.00194755446296716,0.00201588,0.00201588,0.00201588,-5.88899931369317E-10,2.60827218976888E-12,101.6478
4,0.134213931771792,21.2586091415885,28.7687923969027,90.2556300208247,9.74436997917526,3119087.87363945,5758.31863011797,34558.3746179577,590.938012660039,-492.703799842631,570.455186851334,395.947872057811,-0.159275147200226,4.5139394286606E-09,375.309667658,77.7045313499948,14.6773160440524,14.0947739773221,0.005,0.005,0.998000043198691,0.0019999568013094,0.998052842900782,0.00194715709921789,0.998052350189179,0.00194764981082076,0.00201588,0.00201588,0.00201588,-4.99868010972774E-10,1.23330973999696E-12,120.9628
5,0.135236252306722,21.2863587456654,31.3315403625319,90.3143324007695,9.68566759923054,3119605.1020601,5241.09014400266,34541.6393958034,541.118109857397,-492.106161923568,626.939204486234,396.204602846369,-0.143674561292606,1.8183814568652E-08,375.496466881429,76.8288738539049,19.631519005389,14.1037851404581,0.005,0.005,0.998000051855546,0.00199994814445436,0.99805290081553,0.00194709918446992,0.998052256049004,0.00194774395099641,0.00201588,0.00201588,0.00201588,-4.08192222937175E-10,3.08943861228457E-12,114.7029
6,0.136242640186737,21.3135296199385,34.0962728118035,90.3705061610429,9.62949383895713,3120062.01296264,4784.17905411452,34525.2244952861,496.825599987366,-491.519924366385,687.262528245072,396.454539625997,-0.126919695149667,5.20415293673674E-08,375.675276944646,75.8945504782672,24.9815957026355,14.1124081454924,0.005,0.005,0.998000059486872,0.00199994051312757,0.998052971267042,0.00194702873295782,0.998052163138535,0.00194783686146523,0.00201588,0.00201588,0.00201588,-3.12014728437206E-10,4.00447631367141E-09,107.8855
7,0.137232589033462,21.3401169080309,36.9818299079444,90.4240681817847,9.57593181821528,3120456.33925396,4389.85234680498,34509.1345921389,458.425606002607,-490.945256765264,749.731005499267,396.697725454314,-0.109535080921681,1.15553201693628E-07,375.845512857036,74.9161866290411,30.568943175607,14.120630233034,0.005,0.005,0.998000066059526,0.00199993394047381,0.998053052095864,0.00194694790413541,0.998052071437036,0.00194792856296448,0.00201588,0.00201588,0.00201588,-2.39549934032835E-10,1.28696045237558E-09,121.5929
8,0.138206382044083,21.3661367554294,39.8775634708758,90.4750338518852,9.52496614811477,3120788.0594224,4058.13142459846,34493.3616110205,426.052057455518,-490.38187325077,812.048567732197,396.934393355036,-0.0921444912342769,2.09378647721476E-07,376.006879124988,73.9170524191878,36.177287702889,14.1284537653685,0.005,0.005,0.998000071577746,0.00199992842225422,0.998053139659039,0.00194686034096117,0.99805198088293,0.00194801911706984,0.00201588,0.00201588,0.00201588,-1.61354080863957E-10,3.31151693082795E-10,99.0946
9,0.139165109296063,21.3916262436888,42.6577840989693,90.5235247265192,9.4764752734808,3121059.64456231,3786.54512750623,34477.8846602731,399.573155443415,-489.829030032705,871.627393186105,397.164960436331,-0.0754403166414704,3.21439648461011E-07,376.159414602359,72.9280741569066,41.5609192577022,14.1358974019357,0.005,0.005,0.998000076086947,0.00199992391305247,0.998053229190379,0.00194677080962083,0.998051891378061,0.0019481086219394,0.00201588,0.00201588,0.00201588,-1.06539517049315E-10,6.65098096537816E-11,101.548
