Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,1350,150,46747822.5676437,124870.564242765,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,11.4216335958525,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130206633662739,21.1483538627928,21.4896905433516,1350.21107224625,149.788927753752,46750486.4476395,122206.675131198,34624.5764152001,815.859202437858,-495.067560805059,403.404188093527,394.913220882001,-0.739966665483597,2.53217294812202E-06,936.307146065865,300.348725945256,10.2178481956258,11.4237495241062,0.005,0.005,0.998000003003999,0.00199999699600048,0.998052738328838,0.00194726167116229,0.998052719506732,0.00194728049326789,0.00201588,0.00201588,0.00201588,-5.16357071304615E-11,3.08741860338327E-09,83.3815
2,0.130411609831858,21.1540520375511,21.8423211980349,1350.4181798997,149.5818201003,46753052.4284008,119640.666024801,34621.1663352113,799.834270933306,-494.945819164398,411.987135769637,394.967261807387,-0.712772433689485,7.87364318966866E-06,936.443565256562,299.819351100082,20.5913426985101,11.4258268944853,0.005,0.005,0.99800000589627,0.00199999410372949,0.998052739125656,0.00194726087434436,0.99805270117663,0.00194729882337015,0.00201588,0.00201588,0.00201588,-4.99312800998642E-11,2.17046024263725E-09,86.9296
3,0.130614876014967,21.1596963440084,22.1992065307856,1350.62122752222,149.378772477784,46755518.3483951,117174.688692868,34617.7872786513,784.413251958504,-494.825183276394,420.584351275501,395.020730971017,-0.684977776190887,1.59271247684956E-05,936.577316917023,299.28723041456,31.0820228235631,11.4278646839389,0.005,0.005,0.998000008674496,0.001999991325504,0.998052740308085,0.00194725969191502,0.998052682939381,0.00194731706061889,0.00201588,0.00201588,0.00201588,-4.24720263407708E-11,1.3816924367397E-09,82.4633
4,0.130816390977079,21.165285815049,22.5589971913808,1350.8201415954,149.179858404602,46757882.5511761,114810.390527642,34614.4398587012,769.610534260301,-494.705675080456,429.171435817088,395.073620932854,-0.656722994742708,2.64955974287457E-05,936.70833032766,298.753822975019,41.6497091991487,11.4298620885054,0.005,0.005,0.998000011336798,0.00199998866320163,0.998052741863034,0.00194725813696638,0.998052664796623,0.00194733520337732,0.00201588,0.00201588,0.00201588,-1.59536117038483E-08,8.76453680277585E-10,84.0347
5,0.131016124960784,21.1708198041206,22.9203014788566,1351.01487149717,148.985128502829,46760143.9146656,112548.895364603,34611.1244969841,755.437113057002,-494.587309678676,437.723020709903,395.125927306038,-0.628156524865578,3.65759784148799E-05,936.8365498352,298.220633745191,52.2530532827093,11.4318185338257,0.005,0.005,0.998000013882295,0.00199998611770474,0.998052743774073,0.00194725622592666,0.99805264674977,0.0019473532502296,0.00201588,0.00201588,0.00201588,-3.54124957664798E-11,5.55361563317146E-10,82.0971
6,0.131214059787899,21.1762979862252,23.2817044991469,1351.20538903394,148.794610966063,46762301.8330732,110390.799613487,34607.8414226179,741.900522450136,-494.470095300399,446.213118209749,395.177648749814,-0.599421779867262,4.92621089021365E-05,936.961935609408,297.689193035192,62.8501051650248,11.433733671131,0.005,0.005,0.998000016310292,0.00199998368970841,0.998052746021597,0.00194725397840301,0.99805262879923,0.00194737120077007,0.00201588,0.00201588,0.00201588,-2.60159591953762E-11,3.4946370731828E-10,87.1782
7,0.131410188822737,21.1817203550936,23.6417886227777,1351.39168888951,148.608311110494,46764356.2336771,108336.174099423,34604.5906735636,729.004813323478,-494.354033350661,454.615519200909,395.228786924505,-0.570666834430562,6.24750326904986E-05,937.084463341829,297.161036364652,73.3989181590157,11.4356073824043,0.005,0.005,0.998000018620822,0.00199998137917838,0.998052748583077,0.00194725141692251,0.998052610944936,0.00194738905506385,0.00201588,0.00201588,0.00201588,-2.12028826966654E-11,2.16144309939383E-10,85.1358
8,0.131604516450813,21.1870872070837,23.9991537880857,1351.57378765861,148.426212341386,46766307.5554255,106384.578393602,34601.3721059512,716.750611063989,-494.239118742468,462.904201965016,395.279346323569,-0.54203381900986,7.60992740591367E-05,937.204124632566,296.637682327453,83.8581469093148,11.4374397712744,0.005,0.005,0.998000020814493,0.00199997918550738,0.998052751433382,0.00194724856661836,0.998052593186262,0.00194740681373831,0.00201588,0.00201588,0.00201588,-2.84024796903842E-11,1.33637563110615E-10,88.4979
9,0.131797057512152,21.1923991239654,24.3524376233231,1351.75172286268,148.24827713732,46768156.7279162,104535.082465585,34598.1854041012,705.135226419902,-494.1253402542,471.053749793544,395.329334096299,-0.513659025190605,8.98437036408318E-05,937.320926371794,296.1206117295,94.1876385352349,11.4392311536652,0.005,0.005,0.99800002289246,0.00199997710753967,0.998052754545154,0.00194724545484606,0.998052575522058,0.00194742447794208,0.00201588,0.00201588,0.00201588,-1.63250775021789E-11,8.6441403494406E-11,89.0696
10,0.131987851185703,21.1976573539114,24.7003502451077,1351.92557420319,148.074425796808,46769905.5966566,102786.213693784,34595.0298515673,694.152370611455,-494.012672354775,479.040113582509,395.378763612655,-0.485796872336003,8.71924890412225E-09,937.434890107295,295.611246990234,104.349447667819,11.4409822724238,0.005,0.005,0.998000024856906,0.00199997514309441,0.998052757890151,0.00194724210984854,0.998052557949708,0.00194744205029184,0.00201588,0.00201588,0.00201588,-2.15783426818386E-11,4.97373991026258E-11,96.9694
