Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,90,10,3116521.50450958,8324.70428285099,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,2.42265126536487,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.13137476160672,21.180741327823,27.0079440766327,90.1226371225051,9.87736287749487,3118709.87139267,6136.32184801267,34605.177688635,621.25102865199,-494.375018221331,531.74395705861,395.219531994101,-0.607879689745088,4.31993226003316E-06,165.092192750085,289.549613544908,56.0039379105092,2.42648627056959,0.005,0.005,0.998000036931604,0.0019999630683965,0.998052775559221,0.0019472244407785,0.998052632404711,0.00194736759528937,0.00201588,0.00201588,0.00201588,-7.19513334003153E-09,1.77489057617375E-09,114.2513
2,0.132512985472081,21.2121018782575,34.4401995067458,90.2139865183941,9.78601348160593,3120173.05591588,4673.13730372852,34586.3560222971,477.532277317243,-493.703013205204,695.42293287899,395.514232297752,-0.406440145338679,5.85129277573691E-09,164.746010852882,283.776217794603,126.674799373022,2.42935192329852,0.005,0.005,0.998000061552647,0.00199993844735277,0.998052849259294,0.00194715074070571,0.998052540174992,0.00194745982500758,0.00201588,0.00201588,0.00201588,-3.21395724022277E-09,6.13276542875313E-12,124.9932
3,0.13346993773613,21.2383190863668,41.0484287046372,90.2781642832554,9.72183571674464,3120969.62357139,3876.5696291565,34570.5924389322,398.748728337345,-493.140144215815,837.87499092317,395.759163209763,-0.221268793196392,5.29586234026485E-09,164.486376212136,276.280026257523,189.190343373094,2.43136988005406,0.005,0.005,0.998000074925361,0.00199992507463906,0.998052930037802,0.00194706996219842,0.99805245614327,0.00194754385672975,0.00201588,0.00201588,0.00201588,-9.54903643639839E-10,8.89497039230762E-09,121.5954
4,0.134343225151069,21.2621269825835,45.1924367699739,90.3262170323284,9.67378296767161,3121335.7630256,3510.43016133294,34556.2547129418,362.880806098741,-492.628149234214,926.487389634964,395.980449332144,-0.101705403947401,3.78142835365401E-09,164.300245747632,269.563567499112,228.098953044599,2.43288337066417,0.005,0.005,0.998000081060162,0.00199991893983791,0.998052988027121,0.00194701197287939,0.998052374054411,0.00194762594558948,0.00201588,0.00201588,0.00201588,-2.03162393180082E-10,1.91999042285588E-11,95.6989
5,0.135190408359812,21.2851175872017,47.2306705453652,90.3668276958577,9.63317230414228,3121486.07364307,3360.11947790518,34542.3885427169,348.807160488588,-492.132961215068,969.942903593688,396.193107336848,-0.0417529492972729,1.8321443349123E-08,164.157500882241,265.367397774903,246.948825350531,2.43416418190529,0.005,0.005,0.998000083574281,0.0019999164257189,0.998053019184153,0.00194698081584656,0.998052291527055,0.00194770847294508,0.00201588,0.00201588,0.00201588,-2.8136962306513E-11,1.87171853037274E-12,96.0158
6,0.1360316207565,21.3078443575163,48.1275855993575,90.4044087788107,9.5955912211893,3121543.23041733,3302.96269257504,34528.661517545,344.216694567119,-491.642714015968,989.011280661075,396.402323870182,-0.0158768817378829,3.07608085374037E-09,164.035067718545,263.343451124097,254.954448650341,2.43535085622342,0.005,0.005,0.998000084528711,0.00199991547128918,0.998053033212494,0.00194696678750636,0.998052208517613,0.00194779148238701,0.00201588,0.00201588,0.00201588,-1.1511526840863E-11,2.29055412274073E-09,95.1903
7,0.136872616038827,21.3304649523422,48.5203313834939,90.4408191224431,9.55918087755691,3121562.95910382,3283.23413796851,34514.9788490714,343.463962030146,-491.154024472783,997.311676888982,396.609571143988,-0.00548019069169338,-3.66343495746454E-08,163.920923801255,262.500086265834,258.17652083347,2.43650186512752,0.005,0.005,0.998000084857614,0.00199991514238639,0.998053038667756,0.00194696133224421,0.998052125351637,0.00194787464836344,0.00201588,0.00201588,0.00201588,-1.40346484849499E-08,1.29413257178486E-11,95.5734
8,0.137715092863684,21.3530259082335,48.7085078452341,90.4767930301438,9.52320696985619,3121568.11553932,3278.07776912149,34501.3125575673,344.219943921999,-490.665894248397,1001.24255856307,396.815283629298,-0.00143234319402836,-1.8514304732283E-08,163.810440767476,262.178465083959,259.459211014972,2.43764034302183,0.005,0.005,0.998000084943441,0.00199991505655953,0.99805304023516,0.0019469597648399,0.998052042228818,0.00194795777118194,0.00201588,0.00201588,0.00201588,-4.8020129384086E-09,1.2513539408107E-11,101.6453
9,0.138559609269885,21.3755426062595,48.8164890313765,90.5126153639169,9.48738463608314,3121567.7082692,3278.48502773935,34487.6534140414,345.562571087333,-490.177994258953,1003.46029025821,397.019605936837,0.000113130587204877,3.19340162807041E-09,163.700339673898,262.06961509663,259.981592281483,2.43877528089989,0.005,0.005,0.998000084936672,0.00199991506332756,0.998053040100873,0.00194695989912685,0.998051959238235,0.00194804076176556,0.00201588,0.00201588,0.00201588,-1.82585827922269E-10,1.68439405620431E-12,154.4715
