Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,90,10,3116521.50450958,8324.70428285099,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,4.63124550996016,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130782864267485,21.1643563039978,22.7354371612788,90.0555031695234,9.94449683047662,3117270.93656011,7575.27218004637,34614.9966059493,761.75520080922,-494.725554452489,433.403626478813,395.064827186527,-0.208175569590207,1.45221646461222E-08,217.166643397892,88.8833606594959,7.73239770214169,4.63463252753225,0.005,0.005,0.998000012662434,0.00199998733756651,0.998052744693414,0.00194725530658559,0.998052669535334,0.00194733046466599,0.00201588,0.00201588,0.00201588,-8.44741619108864E-10,1.6197405532627E-11,103.8039
2,0.131542695821266,21.185380488591,24.5012321110649,90.1075434235121,9.89245657648794,3117936.87892659,6909.32926304148,34602.3957647148,698.444234717526,-494.27567259875,474.578483812105,395.263268616683,-0.184983990688731,1.5292381350365E-07,217.273705188931,88.252354795324,16.2825244705021,4.63781526043594,0.005,0.005,0.998000023894799,0.00199997610520072,0.998052758397283,0.00194724160271711,0.998052602512121,0.00194739748787905,0.00201588,0.00201588,0.00201588,-6.7786214998851E-10,7.81068080316804E-13,108.1861
3,0.132277158038807,21.2056202091431,26.3717395499869,90.1557985881257,9.84420141187427,3118511.54011024,6334.66619478942,34590.2492013528,643.492136106482,-493.841986302362,517.139655047367,395.453509009583,-0.159628106571553,5.23498359446724E-07,217.373837486487,87.5751793029877,25.3138345340358,4.64077263553538,0.005,0.005,0.998000033571597,0.0019999664284032,0.998052778487671,0.00194722151232927,0.99805253693472,0.00194746306528009,0.00201588,0.00201588,0.00201588,-4.94179992191164E-10,3.39732002713498E-12,101.6871
4,0.132986091004463,21.2250802313151,28.2601758905422,90.200210307318,9.79978969268196,3118993.00813575,5853.19422761155,34578.5558316232,597.27753463755,-493.424459368018,559.406803086472,395.635682473161,-0.133741118195208,1.09490977289776E-06,217.466314749559,86.8743340545686,34.402746344136,4.64349971740707,0.005,0.005,0.99800004166645,0.00199995833355058,0.998052803636522,0.00194719636347766,0.998052472753532,0.00194752724646817,0.00201588,0.00201588,0.00201588,-3.51328569991342E-10,3.35630529531872E-12,100.9317
5,0.133671194729173,21.2438157009312,30.0740240144984,90.2409598544966,9.75904014550342,3119384.90277085,5461.29333072644,34567.2841667521,559.613778537718,-493.021969862069,599.541465577716,395.81038803046,-0.108859620862123,1.73938383037845E-06,217.550955317422,86.1774729035775,43.1011232871041,4.64600638963792,0.005,0.005,0.998000048245567,0.00199995175443322,0.998052831895983,0.00194716810401731,0.99805240982307,0.0019475901769303,0.00201588,0.00201588,0.00201588,-2.36732002244608E-10,2.836458157559E-09,99.6079
6,0.134335440890116,21.2619152581887,31.7315644042901,90.2784093885307,9.72159061146927,3119695.22978429,5150.95791243338,34556.3823168181,529.847235734903,-492.632667090391,635.915512111958,395.978524373227,-0.0862019481780266,2.33468108086122E-06,217.628080486342,85.5134033529392,51.0160675333342,4.64831385675979,0.005,0.005,0.998000053448001,0.00199994655199886,0.998052861052229,0.00194713894777132,0.998052347945716,0.00194765205428424,0.00201588,0.00201588,0.00201588,-1.40849673481291E-10,6.32861394115951E-10,100.6695
7,0.134982426699371,21.2794830175262,33.1762071683759,90.3130286620371,9.6869713379629,3119934.81078881,4911.36676792534,34545.7887639224,507.00746358956,-492.254356174429,667.423669666547,396.141118435398,-0.0665502790317664,2.81666496044232E-06,217.698399419943,84.907011847769,57.8783875879276,4.65045018682351,0.005,0.005,0.998000057459029,0.00199994254097087,0.998052889059227,0.00194711094077259,0.998052286912692,0.00194771308730772,0.00201588,0.00201588,0.00201588,-8.73639494762999E-11,1.36745177698802E-10,127.684
8,0.135615814051936,21.2966232506953,34.3828676320435,90.3453230580874,9.65467694191257,3120115.62661821,4730.5395060274,34535.4415813217,489.9738784103,-491.884827229543,693.617955774789,396.299182807071,-0.0502266192798399,3.17569175321195E-06,217.762859952018,84.3749379668494,63.5722141418366,4.65244588161978,0.005,0.005,0.998000060482313,0.00199993951768725,0.998052914382942,0.00194708561705841,0.998052226533605,0.00194777346639483,0.00201588,0.00201588,0.00201588,-5.47110506876572E-11,3.64162972595842E-11,178.6611
9,0.136238941233685,21.3134300171156,35.3550791273735,90.3757762171369,9.6242237828631,3120249.40574337,4596.74803125595,34525.2847206165,477.622729371788,-491.522079910993,714.643254746693,396.453621509327,-0.0371608680993732,3.43044831727942E-06,217.822498396298,83.9237672005406,68.1199125771671,4.65433031041498,0.005,0.005,0.998000062716339,0.00199993728366142,0.9980529361441,0.00194706385589998,0.998052166651703,0.00194783334829666,0.00201588,0.00201588,0.00201588,-3.35307201588335E-11,3.26030306886957E-12,180.3655
