Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,450,50,15582607.5225479,41623.521414255,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,4.13872904898516,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130664674412371,21.1610781879403,23.5649582957929,450.301835142173,49.6981648578274,15588080.5385733,36150.5048931775,34616.9598301809,727.401202772657,-494.795655165061,453.063705102274,395.033799430563,-1.52028222927979,1.37686212029722E-07,355.77334733955,652.370032607901,67.619460944691,4.14195097578285,0.005,0.005,0.998000018498675,0.00199998150132483,0.998052745580109,0.00194725441989109,0.998052687378796,0.00194731262120412,0.00201588,0.00201588,0.00201588,-1.80311261950403E-09,1.26974120599308E-10,104.1552
2,0.131281061508143,21.1781510296822,26.4346392610136,450.57038045046,49.42961954954,15592767.787964,31463.2512508683,34606.7306341244,636.526267804566,-494.43046117474,518.834272287311,395.195107234421,-1.30201371963964,1.181001878447E-06,355.374020044987,647.07559588766,147.600148723924,4.14482235949399,0.005,0.005,0.99800003431675,0.00199996568325044,0.998052761389068,0.00194723861093206,0.998052639462155,0.00194736053784552,0.00201588,0.00201588,0.00201588,-1.31893717134756E-09,4.32451174633104E-12,109.6312
3,0.131843616796738,21.1936827871209,29.5619372253651,450.801425756403,49.1985742435971,15596564.0777432,27666.9509576385,34597.4151514131,562.352697878011,-494.097872342536,588.618549424722,395.341373090482,-1.05452493866388,2.92056654062536E-06,355.014123549256,640.690046334738,234.60558081636,4.14729643093576,0.005,0.005,0.998000047110151,0.00199995288984947,0.998052784309479,0.00194721569052117,0.998052594347519,0.00194740565248107,0.00201588,0.00201588,0.00201588,-8.74595024805617E-10,8.12069557371676E-13,99.8238
4,0.13235480650986,21.2077552731123,32.6651749528161,450.995507263649,49.0044927363505,15599468.7010828,24762.3125448852,34588.9669627316,505.306986404475,-493.796234966831,656.761182946496,395.47350066423,-0.80683981654286,4.1869996736447E-06,354.703604737992,633.647931073153,320.771097417921,4.14937731557818,0.005,0.005,0.998000056886518,0.00199994311348197,0.998052811591068,0.00194718840893242,0.99805255173005,0.00194744826995038,0.00201588,0.00201588,0.00201588,-5.04212352736243E-10,1.0347216896491E-08,99.3858
5,0.132822878119701,21.2206066723159,35.4518409890352,451.157036504072,48.8429634959279,15601572.1188186,22658.8783404562,34581.2452349456,463.912848825098,-493.520523872242,717.331447179927,395.593834468983,-0.584282704403934,4.57460422896677E-06,354.442152807963,626.610452118339,397.968448445423,4.15111102428119,0.005,0.005,0.998000063958431,0.00199993604156888,0.998052839492574,0.00194716050742608,0.998052511024382,0.00194748897561795,0.00201588,0.00201588,0.00201588,-2.69611245864024E-10,1.32487456325034E-09,105.9208
6,0.133258482842607,21.2325375602976,37.7240710707254,451.292587342544,48.7074126574555,15603021.9327528,21209.0484301966,34574.070947258,435.437796282743,-493.264349609088,766.397800902979,395.705267814845,-0.402726092813537,4.4378141562144E-06,354.220638595147,620.273441915606,460.7308475,4.15256720038107,0.005,0.005,0.998000068828086,0.00199993117191412,0.998052864640979,0.0019471353590208,0.998052471601126,0.00194752839887394,0.00201588,0.00201588,0.00201588,-1.31460309938006E-10,1.49703124164984E-10,99.6894
7,0.133671681853597,21.2438289951602,39.4290488033934,451.409047730635,48.5909522693652,15603981.2149022,20249.7512987612,34567.2761619377,416.739132555093,-493.021717661568,803.060023166698,395.810478826087,-0.266467263730657,4.16166821701659E-06,354.033247710847,615.107894849448,507.634664487599,4.15381924277128,0.005,0.005,0.998000072047262,0.00199992795273756,0.998052885091091,0.00194711490890908,0.998052432953615,0.00194756704638516,0.00201588,0.00201588,0.00201588,-5.13189219332937E-11,1.21642949434039E-11,87.7235
8,0.134070370795884,21.2547002534765,40.6290411085715,451.51234449959,48.4876555004098,15604596.054427,19634.897667198,34560.7296113277,404.946320141877,-492.787942201783,828.789928438317,395.911544505917,-0.170788756889395,3.91854490670893E-06,353.870978420487,611.247540311999,540.449361751633,4.15493050186192,0.005,0.005,0.998000074108839,0.00199992589116132,0.998052900445488,0.00194709955451169,0.998052394748122,0.0019476052518783,0.00201588,0.00201588,0.00201588,-2.04748537751756E-11,4.92181713978842E-13,86.9478
9,0.134460064981649,21.2653039053196,41.4370766792956,451.606966096946,48.3930339030537,15604980.5832396,19250.355929041,34554.3398457889,397.791879872741,-492.559758682097,846.076770989546,396.009904171293,-0.106813559048913,3.59043892886904E-06,353.726166238994,608.554502911151,562.34291774316,4.15594904328516,0.005,0.005,0.998000075397127,0.00199992460287289,0.998052911305021,0.00194708869497922,0.998052356793105,0.00194764320689522,0.00201588,0.00201588,0.00201588,-1.15414311175039E-08,3.06490053039825E-12,84.4899
