time_hr,temperature_K
0.0,24.0
0.5,28.0
1.0,31.0
1.5,33.0
2.0,34.5
2.5,35.2
3.0,35.5
3.5,35.8
4.0,36.0
5.0,36.2
6.0,36.5
7.0,36.5
8.0,36.8
9.0,37.0
10.0,37.0
11.0,37.0
12.0,37.2
13.0,37.2
14.0,37.5
