Q_hot_kW,T_hot_K,Q_cold_kW,T_cold_K
0,27.95,0,20.4
2.16908420616685,28.0655,0.387783235281974,20.4670625
4.34982691706135,28.181,0.774768421927484,20.534125
6.54207224862879,28.2965,1.16097599447783,20.6011875
8.74566454740086,28.412,1.54642573334588,20.66825
10.9604483900278,28.5275,1.93113678918544,20.7353125
13.1862685823109,28.643,2.31512770618671,20.802375
15.422970158099,28.7585,2.69841644435648,20.8694375
17.6703983780103,28.874,3.08102040084087,20.9365
19.9283987276119,28.9895,3.46295643033377,21.0035625
22.1968169155685,29.105,3.84424086461982,21.070625
24.4754988713701,29.2205,4.22488953130263,21.1376875
26.7642907430628,29.336,4.60491777174666,21.20475
29.0630388942254,29.4515,4.98434045828517,21.2718125
31.3715899013553,29.567,5.36317201072063,21.338875
33.689790550406,29.6825,5.74142641215685,21.4059375
36.017487833391,29.798,6.11911722419428,21.473
38.3545289448246,29.9135,6.49625760151505,21.5400625
40.7010796098917,30.029,6.87286030589494,21.607125
43.0639041026853,30.1445,7.24893771965986,21.6741875
45.4455717415511,30.26,7.62450185861755,21.74125
47.8458084908338,30.3755,7.99956438448825,21.8083125
50.2643405192473,30.491,8.37413661685556,21.875375
52.7008941945008,30.6065,8.74822954465953,21.9424375
55.1551960779913,30.722,9.12185383725369,22.0095
57.6269729190246,30.8375,9.49501985504294,22.0765625
60.1159516489062,30.953,9.86773765972505,22.143625
62.6218593746313,31.0685,10.2400170241415,22.2106875
65.1444233724023,31.184,10.611867441771,22.27775
67.6833710808019,31.2995,10.9832981358825,22.3448125
70.2384300940964,31.415,11.3543180683158,22.411875
72.8093281544542,31.5305,11.7249359479813,22.4789375
75.3957931449949,31.646,12.0951602390431,22.546
77.9975530815684,31.7615,12.464999168784,22.6130625
80.6143361049412,31.877,12.834460735211,22.680125
83.245870472552,31.9925,13.2035527143834,22.7471875
85.8918845499364,32.108,13.5722826674701,22.81425
88.5521068019098,32.2235,13.9406579475767,22.8813125
91.2262657836315,32.339,14.3086857063151,22.948375
93.9140901313791,32.4545,14.6763729001469,23.0154375
96.6153085528835,32.57,15.0437262965149,23.0825
99.3296498176055,32.6855,15.4107524797388,23.1495625
102.056842746736,32.801,15.7774578567388,23.216625
104.796616203018,32.9165,16.1438486625341,23.2836875
107.548699079931,33.032,16.5099309655701,23.35075
110.312820291247,33.1475,16.875710672846,23.4178125
113.088708759626,33.263,17.2411935346142,23.484875
115.876093405657,33.3785,17.6063851464392,23.5519375
118.674703136016,33.494,17.9712909594512,23.619
121.484266831748,33.6095,18.3359162831986,23.6860625
124.304513336221,33.725,18.7002662889811,23.753125
127.135171442702,33.8405,19.0643460140148,23.8201875
129.975969881752,33.956,19.4281603654872,23.88725
132.826637308343,34.0715,19.79171412447,23.9543125
135.686902288728,34.187,20.1550119496901,24.021375
138.556493286863,34.3025,20.518058381193,24.0884375
141.435138650981,34.418,20.880857843878,24.1555
144.322566599446,34.5335,21.2434146509189,24.2225625
147.218505206523,34.649,21.6057330070729,24.289625
150.122682387787,34.7645,21.9678170118773,24.3566875
153.034825885628,34.88,22.329670662758,24.42375
155.954663253838,34.9955,22.6912978580143,24.4908125
158.885649092838,35.111,23.052702399732,24.557875
161.831913654442,35.2265,23.4138879965792,24.6249375
164.793291851545,35.342,23.7748582665338,24.692
167.769612240815,35.4575,24.1356167395084,24.7590625
170.7607031066,35.573,24.4961668598988,24.826125
173.766392444616,35.6885,24.8565119890543,24.8931875
176.786507945185,35.804,25.2166554076589,24.96025
179.820876976683,35.9195,25.5766003180516,25.0273125
182.869326568206,36.035,25.9363498464607,25.094375
185.931683392588,36.1505,26.2959070451733,25.1614375
189.007773748629,36.266,26.6552748946411,25.2285
192.09742354353,36.3815,27.0144563055162,25.2955625
195.200458275283,36.497,27.3734541206193,25.362625
198.316703014056,36.6125,27.7322711168547,25.4296875
201.445982384404,36.728,28.09091000706,25.49675
204.588120546563,36.8435,28.4493734418037,25.5638125
207.742941177981,36.959,28.8076640111221,25.630875
210.91026745444,37.0745,29.1657842462082,25.6979375
214.089922031132,37.19,29.5237366210436,25.765
217.281727023738,37.3055,29.881523553981,25.8320625
220.485503988978,37.421,30.2391474092878,25.899125
223.701073905596,37.5365,30.5966104986144,25.9661875
226.928257154662,37.652,30.9539150824892,26.03325
230.166873500134,37.7675,31.3110633716634,26.1003125
233.416742069334,37.883,31.668057528456,26.167375
236.677681333115,37.9985,32.0248996681788,26.2344375
239.94950908628,38.114,32.381591860242,26.3015
243.232042427588,38.2295,32.7381361296199,26.3685625
246.525097740089,38.345,33.0945344577769,26.435625
249.828490671364,38.4605,33.4507887840917,26.5026875
253.142036113469,38.576,33.8069010064457,26.56975
256.4655481833,38.6915,34.1628729820714,26.6368125
259.798840202875,38.807,34.5187065303819,26.703875
263.141724679403,38.9225,34.8744034329964,26.7709375
266.494013285921,39.038,35.2299654346848,26.838
269.855516841519,39.1535,35.5853942442969,26.9050625
273.226045292032,39.269,35.9406915357354,26.972125
276.605407690812,39.3845,36.2958589488793,27.0391875
279.993412179458,39.5,36.6508980904593,27.10625
283.389865968822,39.6155,37.005810534921,27.1733125
286.794575320542,39.731,37.3605978253089,27.240375
290.207345528077,39.8465,37.7152614740072,27.3074375
293.627980898818,39.962,38.0698029635828,27.3745
297.057453693837,40.0775,38.4242237475403,27.4415625
300.499323159769,40.193,40.5755757691823,27.508625
303.953701766034,40.3085,42.9852724638988,27.5756875
307.420420456622,40.424,45.3946656706183,27.64275
310.899309116178,40.5395,47.8037591799702,27.7098125
314.390196554728,40.655,50.2125549262086,27.776875
317.892910492372,40.7705,52.6210564060874,27.8439375
321.407277545048,40.886,55.0292655560094,27.911
324.933123210027,41.0015,57.437185397141,27.9780625
328.470271852593,41.117,59.8448184221925,28.045125
332.018546692862,41.2325,62.2521668037237,28.1121875
335.577769793163,41.348,64.6592336640556,28.17925
339.147762046042,41.4635,67.0660206967816,28.2463125
342.728343162833,41.579,69.4725310663138,28.313375
346.319331663027,41.6945,71.8787665909885,28.3804375
349.920544863763,41.81,74.2847298811189,28.4475
353.531798870652,41.9255,76.6904233466548,28.5145625
357.152908568638,42.041,79.0958488370207,28.581625
360.783687613955,42.1565,81.5010092715865,28.6486875
364.423948426647,42.272,83.9059061596054,28.71575
368.073502183928,42.3875,86.3105423529999,28.7828125
371.732158814073,42.503,88.7149195896226,28.849875
375.39972699126,42.6185,91.1190401051677,28.9169375
379.076014131152,42.734,93.5229062436937,28.984
382.760826387322,42.8495,95.9265195864885,29.0510625
386.453968648422,42.965,98.3298828538024,29.118125
390.155244536237,43.0805,100.732997416906,29.1851875
393.864456404484,43.196,103.135865833143,29.25225
397.581405338809,43.3115,105.538489782785,29.3193125
401.305891156975,43.427,107.940871180769,29.386375
405.037712410917,43.5425,110.343012296582,29.4534375
408.776666388749,43.658,112.744914497007,29.5205
412.52254911817,43.7735,115.146580307006,29.5875625
416.275155370944,43.889,117.548010997768,29.654625
420.034278667647,44.0045,119.949208847957,29.7216875
423.799711284131,44.12,122.350175497761,29.78875
427.571244258349,44.2355,124.750912590188,29.8558125
431.348667398458,44.351,127.151422310014,29.922875
435.131769291579,44.4665,129.551705855485,29.9899375
438.920337313799,44.582,131.951765560309,30.057
442.714157640903,44.6975,134.35160262779,30.1240625
446.513015260201,44.813,136.751219073435,30.191125
450.316693983099,44.9285,139.150616511207,30.2581875
454.125241076115,45.044,141.549796353851,30.32525
457.941136909026,45.1595,143.948760693031,30.3923125
461.764906222766,45.275,146.347510596943,30.459375
465.596377019177,45.3905,148.746048212197,30.5264375
469.435376222256,45.506,151.144374699615,30.5935
473.281729696472,45.6215,153.54249182506,30.6605625
477.135262265947,45.737,155.940401187322,30.727625
480.995797734584,45.8525,158.338104004552,30.7946875
484.86315890673,45.968,160.735602268542,30.86175
488.737167609033,46.0835,163.132896949748,30.9288125
492.617644712715,46.199,165.529990012071,30.995875
496.504410156854,46.3145,167.926882594348,31.0629375
500.397282972455,46.43,170.32357622768,31.13
504.29608130692,46.5455,172.720072502415,31.1970625
508.20062244965,46.661,175.116372473355,31.264125
512.110722858101,46.7765,177.512478027105,31.3311875
516.026198184594,46.892,179.908390063485,31.39825
519.946863303755,47.0075,182.304110368268,31.4653125
523.872532340657,47.123,184.699640069626,31.532375
527.803018699382,47.2385,187.094980493786,31.5994375
531.738135092503,47.354,189.490133211756,31.6665
535.677693570827,47.4695,191.885099147099,31.7335625
539.621505553726,47.585,194.279880077302,31.800625
543.569381860201,47.7005,196.674476854181,31.8676875
547.521132740291,47.816,199.068891090112,31.93475
551.47656790667,47.9315,201.463123910708,32.0018125
555.435496567295,48.047,203.857176466706,32.068875
559.397727457955,48.1625,206.251050297038,32.1359375
563.363068875412,48.278,208.644746222711,32.203
567.331328710801,48.3935,211.038265909157,32.2700625
571.302314483398,48.509,213.431610179144,32.337125
575.275833374904,48.6245,215.824780476599,32.4041875
579.251692263513,48.74,218.217777930922,32.47125
583.229697758651,48.8555,220.610603543001,32.5383125
587.209656235798,48.971,223.003258809043,32.605375
591.191373871423,49.0865,225.395744471759,32.6724375
595.174656678136,49.202,227.788062082379,32.7395
599.159310539855,49.3175,230.180212450392,32.8065625
603.145141247325,49.433,232.572196856355,32.873625
607.131954533362,49.5485,234.964016438542,32.9406875
611.119556108262,49.664,237.355672070242,33.00775
615.107751695429,49.7795,239.74716519602,33.0748125
619.09634706656,49.895,242.138496501193,33.141875
623.085162084105,50.0105,244.529667422316,33.2089375
627.075985147847,50.126,246.920678768626,33.276
631.070055394725,50.2415,249.311531663168,33.3430625
635.067216607228,50.357,251.702227256402,33.410125
639.067312792802,50.4725,254.09276631358,33.4771875
643.070188217486,50.588,256.483150220354,33.54425
647.075687438953,50.7035,258.873379622201,33.6113125
651.083655339758,50.819,261.263455840483,33.678375
655.093937159612,50.9345,263.653379690931,33.7454375
659.106378527976,51.05,266.043152156516,33.8125
663.12082549577,51.1655,268.43277439083,33.8795625
667.137124566925,51.281,270.822247071999,33.946625
671.155122729524,51.3965,273.211571520864,34.0136875
675.174667486366,51.512,275.600748358061,34.08075
679.195606885255,51.6275,277.989778790153,34.1478125
683.217789548565,51.743,280.378663643669,34.214875
687.241064702359,51.8585,282.767403780844,34.2819375
691.265282205136,51.974,285.156000346701,34.349
695.29029257568,52.0895,287.544453951709,34.4160625
699.315947020644,52.205,289.932765847163,34.483125
703.342097461353,52.3205,292.320936641586,34.5501875
707.368596559862,52.436,294.70896742768,34.61725
711.395297744758,52.5515,297.096859046221,34.6843125
715.422055235788,52.667,299.484612255755,34.751375
719.448724068143,52.7825,301.872228182842,34.8184375
723.475160115923,52.898,304.259707386991,34.8855
727.501220115027,53.0135,306.647051046327,34.9525625
731.526761684889,53.129,309.034259768023,35.019625
735.551643349914,53.2445,311.421334532357,35.0866875
739.575724560156,53.36,313.80827619708,35.15375
743.598865710717,53.4755,316.195085432076,35.2208125
747.620928160729,53.591,318.581763337,35.287875
751.641774251837,53.7065,320.968310434916,35.3549375
755.661267325113,53.822,323.354727828028,35.422
759.679271737845,53.9375,325.741016131215,35.4890625
763.695652879115,54.053,328.127176214245,35.556125
767.710277184754,54.1685,330.513208953923,35.6231875
771.72301215136,54.284,332.899114944684,35.69025
775.733726349464,54.3995,335.28489525223,35.7573125
779.74228943595,54.515,337.670550375373,35.824375
783.748572165731,54.6305,340.056081338543,35.8914375
787.752446402227,54.746,342.441488769196,35.9585
791.753785127363,54.8615,344.826773436925,36.0255625
795.752462450747,54.977,347.211936231093,36.092625
799.7483536176,55.0925,349.596977685073,36.1596875
803.741335016495,55.208,351.981898824876,36.22675
807.731284185643,55.3235,354.366700136282,36.2938125
811.71807981892,55.439,356.751382564572,36.360875
815.70160177067,55.5545,359.135946752498,36.4279375
819.681731060073,55.67,361.520393383068,36.495
823.658349874286,55.7855,363.904723348257,36.5620625
827.631341571393,55.901,366.288937134411,36.629125
831.60059068208,56.0165,368.673035723016,36.6961875
835.565982910815,56.132,371.057019595736,36.76325
839.52740513633,56.2475,373.440889618109,36.8303125
843.484745411123,56.363,375.824646450394,36.897375
847.437892960732,56.4785,378.208290700966,36.9644375
851.386738181618,56.594,380.591823256002,37.0315
855.331172639203,56.7095,382.975244567025,37.0985625
859.27108906457,56.825,385.358555567074,37.165625
863.206381350852,56.9405,387.741756741638,37.2326875
867.136944548974,57.056,390.124848876337,37.29975
871.062674862756,57.1715,392.507832650674,37.3668125
874.983469643359,57.287,394.890708609093,37.433875
878.899227383273,57.4025,397.273477624759,37.5009375
882.809847709843,57.518,399.65614012502,37.568
886.715231377969,57.6335,402.038696991344,37.6350625
890.615280262636,57.749,404.42114871981,37.702125
894.509897350672,57.8645,406.803496016417,37.7691875
898.398986732277,57.98,409.185739581264,37.83625
902.282453592014,58.0955,411.567879904438,37.9033125
906.160204199261,58.211,413.949917839896,37.970375
910.032145898487,58.3265,416.331853800056,38.0374375
913.898187098913,58.442,418.71368861247,38.1045
917.758237263937,58.5575,421.09542278776,38.1715625
921.612206900256,58.673,423.477056958212,38.238625
925.460007546567,58.7885,425.858591840405,38.3056875
929.301551761951,58.904,428.240027880211,38.37275
933.136753113968,59.0195,430.621365907179,38.4398125
936.96552616678,59.135,433.002606326934,38.506875
940.787786468451,59.2505,435.383749911254,38.5739375
944.603450538615,59.366,437.764797187177,38.641
948.41243585548,59.4815,440.145748723222,38.7080625
952.214660842991,59.597,442.526605244283,38.775125
956.010044857552,59.7125,444.907367162456,38.8421875
959.798508174717,59.828,447.288035278425,38.90925
963.579971975803,59.9435,449.668609997941,38.9763125
967.354752661076,60.059,452.049092035787,39.043375
971.125052088852,60.1745,454.429481937005,39.1104375
974.891187198541,60.29,456.809780215153,39.1775
978.653115443948,60.4055,459.189987596422,39.2445625
982.410795086408,60.521,461.570104468638,39.311625
986.164185180335,60.6365,463.950131600188,39.3786875
989.913245558652,60.752,466.330069403041,39.44575
993.657936818518,60.8675,468.70991853407,39.5128125
997.39822030664,60.983,471.089679557663,39.579875
1001.13405810488,61.0985,473.469352940286,39.6469375
1004.86541301583,61.214,475.848939403418,39.714
1008.59224854827,61.3295,478.228439318577,39.7810625
1012.31452890295,61.445,480.607853418727,39.848125
1016.03221895809,61.5605,482.987182127353,39.9151875
1019.7452842552,61.676,485.366426043009,39.98225
1023.4536909849,61.7915,487.74558575037,40.0493125
1027.15740597273,61.907,490.12466167594,40.116375
1030.85639666514,62.0225,492.503654531241,40.1834375
1034.55063111567,62.138,494.882564678655,40.2505
1038.24007797104,62.2535,497.261392813307,40.3175625
1041.92470645742,62.369,499.640139373569,40.384625
1045.60448636698,62.4845,502.018804902831,40.4516875
1049.27938804427,62.6,504.397390003646,40.51875
1052.94938237311,62.7155,506.775895070014,40.5858125
1056.61444076326,62.831,509.15432079895,40.652875
1060.2745351375,62.9465,511.53266754999,40.7199375
1063.92963791863,63.062,513.910935978505,40.787
1067.57972201692,63.1775,516.289126539213,40.8540625
1071.22476081747,63.293,518.667239727697,40.921125
1074.86472816781,63.4085,521.045276157845,40.9881875
1078.49959836574,63.524,523.423236199191,41.05525
1082.12934614727,63.6395,525.801120530474,41.1223125
1085.75394667472,63.755,528.178929513834,41.189375
1089.37337552509,63.8705,530.556663763385,41.2564375
1092.98760867851,63.986,532.93432375141,41.3235
1096.59662250702,64.1015,535.311909932401,41.3905625
1100.20039376323,64.217,537.689422925718,41.457625
1103.79889956959,64.3325,540.06686308366,41.5246875
1107.39211740758,64.448,542.444231063404,41.59175
1110.980025107,64.5635,544.821527234508,41.6588125
1114.56260083579,64.679,547.198752168732,41.725875
1118.13982308978,64.7945,549.575906356881,41.7929375
1121.71167068264,64.91,551.952990218324,41.86
1125.27812273614,65.0255,554.330004372728,41.9270625
1128.83915867059,65.141,556.706949161457,41.994125
1132.39475819528,65.2565,559.083825217409,42.0611875
1135.94490129946,65.372,561.460632921705,42.12825
1139.48956824312,65.4875,563.837372802939,42.1953125
1143.02873954838,65.603,566.214045371272,42.262375
1146.56239599056,65.7185,568.590651016435,42.3294375
1150.09051859001,65.834,570.967190354239,42.3965
1153.61308860366,65.9495,573.343663720854,42.4635625
1157.13008751708,66.065,575.720071722608,42.530625
1160.64149703638,66.1805,578.096414755115,42.5976875
1164.14729908079,66.296,580.472693305316,42.66475
1167.64747577493,66.4115,582.848907901359,42.7318125
1171.14200944154,66.527,585.225058908876,42.798875
1174.63088259434,66.6425,587.601146935819,42.8659375
1178.11407793103,66.758,589.977172318094,42.933
1181.59157832646,66.8735,592.353135633536,43.0000625
1185.06336682611,66.989,594.72903729351,43.067125
1188.5294266395,67.1045,597.10487774877,43.1341875
1191.98974113403,67.22,599.480657540227,43.20125
1195.44429382873,67.3355,601.856377015679,43.2683125
1198.89306838848,67.451,604.23203677194,43.335375
1202.33604861811,67.5665,606.607637148961,43.4024375
1205.77321845678,67.682,608.983178694609,43.4695
1209.20456197267,67.7975,611.358661836931,43.5365625
1212.63006335738,67.913,613.734086995634,43.603625
1216.04970692115,68.0285,616.109454719585,43.6706875
1219.46347708758,68.144,618.484765344423,43.73775
1222.8713583889,68.2595,620.860019452935,43.8048125
1226.27333546132,68.375,623.23521739298,43.871875
1229.6693930404,68.4905,625.61035968125,43.9389375
1233.05951595666,68.606,627.985446763217,44.006
1236.4436891314,68.7215,630.360479032245,44.0730625
1239.82189757238,68.837,632.735457040854,44.140125
1243.19412637011,68.9525,635.110381117596,44.2071875
1246.56036069376,69.068,637.485251828788,44.27425
1249.9205857875,69.1835,639.86006953354,44.3413125
1253.274786967,69.299,642.234834716404,44.408375
1256.62294961582,69.4145,644.609547840958,44.4754375
1259.96505918218,69.53,646.98420927838,44.5425
1263.30110117564,69.6455,649.358819581137,44.6095625
1266.63106116409,69.761,651.733379075152,44.676625
1269.95492477071,69.8765,654.107888308181,44.7436875
1273.27267767106,69.992,656.482347653158,44.81075
1276.58503329938,70.1075,658.856757562881,44.8778125
1279.89293909565,70.223,661.231118518355,44.944875
1283.1964062872,70.3385,663.605430872608,45.0119375
1286.49544209806,70.454,665.979695174766,45.079
1289.79005375895,70.5695,668.353911752086,45.1460625
1293.08024850463,70.685,670.728081131957,45.213125
1296.36603357136,70.8005,673.102203702167,45.2801875
1299.64741619421,70.916,675.476279887853,45.34725
1302.92440360469,71.0315,677.850310183425,45.4143125
1306.19700302838,71.147,680.224294928965,45.481375
1309.46522168267,71.2625,682.598234667341,45.5484375
1312.72906677448,71.378,684.972129730754,45.6155
1315.98854549826,71.4935,687.345980624706,45.6825625
1319.24366503392,71.609,689.719787752571,45.749625
1322.49443254489,71.7245,692.093551515885,45.8166875
1325.74085517623,71.84,694.467272418273,45.88375
1328.98294005285,71.9555,696.840950791324,45.9508125
1332.22069427783,72.071,699.214587169137,46.017875
1335.45412493062,72.1865,701.588181891852,46.0849375
1338.68323906573,72.302,703.961735441932,46.152
1341.90804371093,72.4175,706.335248238938,46.2190625
1345.12854586599,72.533,708.708720664438,46.286125
1348.34475250127,72.6485,711.082153227677,46.3531875
1351.55667055633,72.764,713.455546255793,46.42025
1354.76430693877,72.8795,715.828900271884,46.4873125
1357.96766852295,72.995,718.20221562683,46.554375
1361.16676214895,73.1105,720.575492795973,46.6214375
1364.36159462139,73.226,722.752144704195,46.6885
1367.55217270847,73.3415,724.782913936656,46.7555625
1370.738503141,73.457,726.813645583344,46.822625
1373.92059261148,73.5725,728.844339708017,46.8896875
1377.09844777316,73.688,730.874996557841,46.95675
1380.27207523937,73.8035,732.905616233045,47.0238125
1383.4414815826,73.919,734.936198903627,47.090875
1386.60667333391,74.0345,736.966744757836,47.1579375
1389.76765698221,74.15,738.997253881957,47.225
NaN,NaN,741.027726521696,47.2920625
NaN,NaN,743.058162739613,47.359125
NaN,NaN,745.088562764752,47.4261875
NaN,NaN,747.118926707521,47.49325
NaN,NaN,749.149254712966,47.5603125
NaN,NaN,751.179546978901,47.627375
NaN,NaN,753.209803578338,47.6944375
NaN,NaN,755.240024750382,47.7615
NaN,NaN,757.270210559106,47.8285625
NaN,NaN,759.300361213876,47.895625
NaN,NaN,761.330476835742,47.9626875
NaN,NaN,763.360557547818,48.02975
NaN,NaN,765.390603553933,48.0968125
NaN,NaN,767.420614917359,48.163875
NaN,NaN,769.450591868237,48.2309375
NaN,NaN,771.480534474561,48.298
NaN,NaN,773.510442924692,48.3650625
NaN,NaN,775.540317350696,48.432125
NaN,NaN,777.570157856514,48.4991875
NaN,NaN,779.599964648808,48.56625
NaN,NaN,781.629737784275,48.6333125
NaN,NaN,783.659477482021,48.700375
NaN,NaN,785.689183816089,48.7674375
NaN,NaN,787.718856952715,48.8345
NaN,NaN,789.748497035277,48.9015625
NaN,NaN,791.778104151056,48.968625
NaN,NaN,793.807678506699,49.0356875
