Q_hot_kW,T_hot_K,Q_cold_kW,T_cold_K
0,27.95,0,20.4
2.16908420616685,28.0655,0.30390097300507,20.4525443386078
4.34982691706135,28.181,0.607310300670696,20.5050886772156
6.54207224862879,28.2965,0.910236712962727,20.5576330158234
8.74566454740086,28.412,1.21268993051285,20.6101773544312
10.9604483900278,28.5275,1.51467915967896,20.6627216930389
13.1862685823109,28.643,1.81621398286405,20.7152660316467
15.422970158099,28.7585,2.1173037439901,20.7678103702545
17.6703983780103,28.874,2.41795693029469,20.8203547088623
19.9283987276119,28.9895,2.71818184208612,20.8728990474701
22.1968169155685,29.105,3.01798659671959,20.9254433860779
24.4754988713701,29.2205,3.31737963443902,20.9779877246857
26.7642907430628,29.336,3.61636922593437,21.0305320632935
29.0630388942254,29.4515,3.91496286681907,21.0830764019012
31.3715899013553,29.567,4.21316789067232,21.135620740509
33.689790550406,29.6825,4.51099147284655,21.1881650791168
36.017487833391,29.798,4.80844106579058,21.2407094177246
38.3545289448246,29.9135,5.10552400751097,21.2932537563324
40.7010796098917,30.029,5.40224693422308,21.3457980949402
43.0639041026853,30.1445,5.69861634088647,21.398342433548
45.4455717415511,30.26,5.99463858514623,21.4508867721558
47.8458084908338,30.3755,6.29032026232438,21.5034311107635
50.2643405192473,30.491,6.58566789721302,21.5559754493713
52.7008941945008,30.6065,6.8806873787754,21.6085197879791
55.1551960779913,30.722,7.17538447215987,21.6610641265869
57.6269729190246,30.8375,7.46976482297863,21.7136084651947
60.1159516489062,30.953,7.76383428061464,21.7661528038025
62.6218593746313,31.0685,8.05759865873988,21.8186971424103
65.1444233724023,31.184,8.35106319466202,21.8712414810181
67.6833710808019,31.2995,8.64423301659486,21.9237858196259
70.2384300940964,31.415,8.93711314840312,21.9763301582336
72.8093281544542,31.5305,9.22970878857194,22.0288744968414
75.3957931449949,31.646,9.52202512730436,22.0814188354492
77.9975530815684,31.7615,9.81406683211359,22.133963174057
80.6143361049412,31.877,10.1058384739045,22.1865075126648
83.245870472552,31.9925,10.3973445322585,22.2390518512726
85.8918845499364,32.108,10.6885896363315,22.2915961898804
88.5521068019098,32.2235,10.9795784284278,22.3441405284882
91.2262657836315,32.339,11.2703150766327,22.3966848670959
93.9140901313791,32.4545,11.5608036630732,22.4492292057037
96.6153085528835,32.57,11.8510481897756,22.5017735443115
99.3296498176055,32.6855,12.1410527868257,22.5543178829193
102.056842746736,32.801,12.4308216139879,22.6068622215271
104.796616203018,32.9165,12.7203584006515,22.6594065601349
107.548699079931,33.032,13.009666799358,22.7119508987427
110.312820291247,33.1475,13.2987503922329,22.7644952373505
113.088708759626,33.263,13.5876128709865,22.8170395759583
115.876093405657,33.3785,13.8762579696021,22.869583914566
118.674703136016,33.494,14.164689031318,22.9221282531738
121.484266831748,33.6095,14.4529093303611,22.9746725917816
124.304513336221,33.725,14.7409220789387,23.0272169303894
127.135171442702,33.8405,15.0287305829976,23.0797612689972
129.975969881752,33.956,15.3163382001217,23.132305607605
132.826637308343,34.0715,15.6037479330143,23.1848499462128
135.686902288728,34.187,15.890962722133,23.2373942848206
138.556493286863,34.3025,16.1779854532092,23.2899386234283
141.435138650981,34.418,16.4648190921121,23.3424829620361
144.322566599446,34.5335,16.7514666631395,23.3950273006439
147.218505206523,34.649,17.0379308681514,23.4475716392517
150.122682387787,34.7645,17.3242143526266,23.5001159778595
153.034825885628,34.88,17.6103197136699,23.5526603164673
155.954663253838,34.9955,17.8962496168605,23.6052046550751
158.885649092838,35.111,18.1820067909118,23.6577489936829
161.831913654442,35.2265,18.4675936714617,23.7102933322906
164.793291851545,35.342,18.7530126428716,23.7628376708984
167.769612240815,35.4575,19.0382660466735,23.8153820095062
170.7607031066,35.573,19.3233562828642,23.867926348114
173.766392444616,35.6885,19.6082858176278,23.9204706867218
176.786507945185,35.804,19.8930568506386,23.9730150253296
179.820876976683,35.9195,20.1776715347543,24.0255593639374
182.869326568206,36.035,20.462131984856,24.0781037025452
185.931683392588,36.1505,20.7464403657111,24.130648041153
189.007773748629,36.266,21.0305989099851,24.1831923797607
192.09742354353,36.3815,21.3146096078993,24.2357367183685
195.200458275283,36.497,21.59847440676,24.2882810569763
198.316703014056,36.6125,21.8821952201463,24.3408253955841
201.445982384404,36.728,22.1657740041757,24.3933697341919
204.588120546563,36.8435,22.4492127835245,24.4459140727997
207.742941177981,36.959,22.732513362213,24.4984584114075
210.91026745444,37.0745,23.0156775047806,24.5510027500153
214.089922031132,37.19,23.29870694577,24.603547088623
217.281727023738,37.3055,23.5816034559546,24.6560914272308
220.485503988978,37.421,23.8643688745255,24.7086357658386
223.701073905596,37.5365,24.1470048397327,24.7611801044464
226.928257154662,37.652,24.4295129533793,24.8137244430542
230.166873500134,37.7675,24.7118947905552,24.866268781662
233.416742069334,37.883,24.994151957174,24.9188131202698
236.677681333115,37.9985,25.2762861267824,24.9713574588776
239.94950908628,38.114,25.5582987898602,25.0239017974854
243.232042427588,38.2295,25.8401914031129,25.0764461360931
246.525097740089,38.345,26.1219653994199,25.1289904747009
249.828490671364,38.4605,26.4036222378604,25.1815348133087
253.142036113469,38.576,26.6851634438776,25.2340791519165
256.4655481833,38.6915,26.966590376035,25.2866234905243
259.798840202875,38.807,27.2479043614983,25.3391678291321
263.141724679403,38.9225,27.5291067061553,25.3917121677399
266.494013285921,39.038,27.8101987381281,25.4442565063477
269.855516841519,39.1535,28.0911818502733,25.4968008449554
273.226045292032,39.269,28.3720572832386,25.5493451835632
276.605407690812,39.3845,28.6528262483873,25.601889522171
279.993412179458,39.5,28.9334899380553,25.6544338607788
283.389865968822,39.6155,29.2140495634144,25.7069781993866
286.794575320542,39.731,29.4945063984849,25.7595225379944
290.207345528077,39.8465,29.7748615783726,25.8120668766022
293.627980898818,39.962,30.055116210787,25.86461121521
297.057453693837,40.0775,30.3352713863988,25.9171555538177
300.499323159769,40.193,30.6153282117922,25.9696998924255
303.953701766034,40.3085,30.8952878543628,26.0222442310333
307.420420456622,40.424,31.1751513546318,26.0747885696411
310.899309116178,40.5395,31.4549197273946,26.1273329082489
314.390196554728,40.655,31.7345939721771,26.1798772468567
317.892910492372,40.7705,32.0141751019714,26.2324215854645
321.407277545048,40.886,32.2936641882886,26.2849659240723
324.933123210027,41.0015,32.5730621868233,26.3375102626801
328.470271852593,41.117,32.8523700290019,26.3900546012878
332.018546692862,41.2325,33.1315886325229,26.4425989398956
335.577769793163,41.348,33.4107189264359,26.4951432785034
339.147762046042,41.4635,33.6897618960954,26.5476876171112
342.728343162833,41.579,33.9687184208895,26.600231955719
346.319331663027,41.6945,34.2475893573488,26.6527762943268
349.920544863763,41.81,34.5263755496745,26.7053206329346
353.531798870652,41.9255,34.8050778515319,26.7578649715424
357.152908568638,42.041,35.0836971706704,26.8104093101501
360.783687613955,42.1565,35.3622343178623,26.8629536487579
364.423948426647,42.272,35.6406900822454,26.9154979873657
368.073502183928,42.3875,35.919065241864,26.9680423259735
371.732158814073,42.503,36.1973605826629,27.0205866645813
375.39972699126,42.6185,36.4755769423812,27.0731310031891
379.076014131152,42.734,36.7537150699814,27.1256753417969
382.760826387322,42.8495,37.0317756939069,27.1782196804047
386.453968648422,42.965,37.3097595326039,27.2307640190124
390.155244536237,43.0805,37.587667311054,27.2833083576202
393.864456404484,43.196,37.8654998038,27.335852696228
397.581405338809,43.3115,38.1432577040681,27.3883970348358
401.305891156975,43.427,38.4209416855478,27.4409413734436
405.037712410917,43.5425,40.7086194143972,27.4934857120514
408.776666388749,43.658,43.430275903722,27.5460300506592
412.52254911817,43.7735,46.1686676470026,27.598574389267
416.275155370944,43.889,48.924105303793,27.6511187278748
420.034278667647,44.0045,51.6967990526429,27.7036630664825
