case_label,P_hot_bar,T_hot_in_K,T_hot_out_K,mdot_H_kgps,mdot_R_kgps,T_R_in_K,T_HENE_in_K,Q_PFHX5_kW
low_eta,30.6876220703125,65.8134223943962,27.95,1.59149598635307,0.315627073553121,20.396913421459,26.2,1162.7818621482
high_eta,48.2944641113281,69.7452644394726,27.95,1.55387343595544,0.386849627221818,20.396913421459,26.7,1130.22696192034
